model,status,note,dataset,eval_split,auc,acc,nll,n_eval,n_folds,auc_ci_low,auc_ci_high,acc_ci_low,acc_ci_high,nll_ci_low,nll_ci_high,graph_construction
bkt,pending_data,Baselines reported for diagnostic purposes only; we do not claim SOTA.,,,,,,,,,,,,,,train_only
gkt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,junyi,valid+test,0.704357981694356,0.8283656890738644,0.4261267457199031,23438956.0,3.0,0.7038717369290278,0.7049074247418853,0.8267286199930798,0.8294598560674267,0.4247928958876231,0.4283907678204812,full_log
gkt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,junyi,valid+test,0.7042084396591871,0.8283383312727057,0.426084396657802,23438956.0,3.0,0.7034017309471086,0.7051897773041992,0.8266876375149291,0.8294557202224982,0.4247472362467472,0.4285458357469767,train_only
simplekt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,junyi,valid+test,0.7189115099995581,0.8297767599996111,0.4150295761376668,23438956.0,3.0,0.71838976194589,0.7193974971387429,0.8282614661805104,0.8307321453635756,0.4137038456858765,0.4172567554361546,train_only
skt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,junyi,valid+test,0.7049648688471164,0.8286225348726384,0.4250969587510094,23438956.0,3.0,0.7044604985660397,0.7057534516728016,0.8269510419255827,0.8297178293948457,0.4237790245450547,0.4273460283721739,full_log
skt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,junyi,valid+test,0.704478966375189,0.8285494378389927,0.4250539443887486,23438956.0,3.0,0.7035907391153936,0.705477382130043,0.8269231281633745,0.8295898766923684,0.4237389953784237,0.427501320888816,train_only
akt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,assist2012,valid+test,0.6841620457297237,0.7000440039050516,0.5838578960597736,2425093.0,3.0,0.6824897918524232,0.685551254069802,0.6960613304837132,0.7021328365490797,0.5824027299942908,0.5867436874458763,train_only
bkt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,assist2012,valid+test,0.608483905155338,0.6976601649495365,0.597930606981344,2425093.0,3.0,0.6067091335142124,0.6097951548237375,0.6935764813311937,0.699925507317627,0.596127215499613,0.6015282054078851,train_only
dgekt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,assist2012,valid+test,0.688865666097763,0.6991563671581721,0.5803776645187164,2425093.0,3.0,0.6864317733635706,0.6902777143409526,0.6950196523414501,0.7014003875615936,0.5785146348109226,0.5839065931085109,full_log
dgekt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,assist2012,valid+test,0.6889567427016559,0.6990811633431141,0.5804201775411995,2425093.0,3.0,0.6866285707870347,0.69019337965123,0.694773615553442,0.701301812655271,0.5785326736260923,0.5840074442755849,train_only
dkt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,assist2012,valid+test,0.6891025406825992,0.696969490372309,0.5861031607365187,2425093.0,3.0,0.6866238662945099,0.6906784197786107,0.6929583292021185,0.6991955538973897,0.5843361555042141,0.5894910043859882,train_only
dygkt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,assist2012,valid+test,0.6386103865334661,0.6955702933385209,0.5989229382526831,2425093.0,3.0,0.6366882725636016,0.6396177259523215,0.6913841833843156,0.69799019491628,0.5970483834636789,0.6023797370853444,full_log
dygkt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,assist2012,valid+test,0.6387787921239487,0.6955702933385209,0.5989692044482174,2425093.0,3.0,0.6372794457260538,0.6399230976324202,0.6913841833843156,0.69799019491628,0.5970712132612318,0.6025068747865795,train_only
gikt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,assist2012,valid+test,0.6926402020540928,0.7000148533432569,0.5782813230746487,2425093.0,3.0,0.6902308390104096,0.6940692304509387,0.6959279075489228,0.7021490577361961,0.5764329827540822,0.5818048688436694,full_log
gikt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,assist2012,valid+test,0.692717965840107,0.6999469321761359,0.5783165930990823,2425093.0,3.0,0.6903904100552962,0.6938931591932124,0.6957430739420113,0.7020978986075983,0.5764508654358725,0.5818840043349247,train_only
gkt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,assist2012,valid+test,0.603926287346754,0.6962184474705196,0.6016526211216252,2425093.0,3.0,0.6024575545224908,0.6050109923468967,0.6920476258674021,0.6986365468336867,0.599748874360983,0.6051835982212636,full_log
gkt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,assist2012,valid+test,0.6040771191824504,0.6962184474705196,0.6017062383899959,2425093.0,3.0,0.6024598906196776,0.6052667030858361,0.6920476258674021,0.6986365468336867,0.5997608053815517,0.6053437205021889,train_only
simplekt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,assist2012,valid+test,0.6973469341310284,0.7072802401275323,0.5708221649228186,2425093.0,3.0,0.694996759107954,0.6988555459426976,0.7035464795318201,0.7091977874300773,0.5690472177326396,0.5743643001933102,train_only
skt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,assist2012,valid+test,0.6519890893303665,0.6964427515389934,0.5930911634978545,2425093.0,3.0,0.6497948030863494,0.6531293365756361,0.6923034551643856,0.6987251394710144,0.5911972664832243,0.5966190507157803,full_log
skt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,assist2012,valid+test,0.6522462568211185,0.6963912270480267,0.5931464331253699,2425093.0,3.0,0.6504982860831697,0.6535006916363971,0.6922312354106918,0.6986427857518084,0.591211608496244,0.5967724623147552,train_only
akt,diagnostic,Diagnostic baseline; mean over folds with bootstrap CI.,xes3g5m,valid+test,0.7072947289640373,0.7947702377785414,0.48035787116962486,5766014.0,3.0,0.7070697167308372,0.7076509818651014,0.7941055938091571,0.7952927312902475,0.47987863129275005,0.48088548246252105,train_only
