dataset,augmentation,p,seed,ddr,fold
junyi,attr_mask,0.1,1234,0.0,2.0
junyi,attr_mask,0.2,17,0.0,2.0
junyi,attr_mask,0.2,42,0.0,2.0
junyi,attr_mask,0.2,1234,0.0,2.0
junyi,attr_mask,0.3,17,0.0,2.0
junyi,attr_mask,0.3,42,0.0,2.0
junyi,attr_mask,0.3,1234,0.0,2.0
junyi,edge_drop,0.05,17,0.0500927643784786,2.0
junyi,edge_drop,0.05,42,0.0487012987012987,2.0
junyi,edge_drop,0.05,1234,0.0519480519480519,2.0
junyi,edge_drop,0.1,17,0.0918367346938775,2.0
junyi,edge_drop,0.1,42,0.0950834879406308,2.0
junyi,edge_drop,0.1,1234,0.0955473098330241,2.0
junyi,edge_drop,0.2,17,0.2003710575139146,2.0
junyi,edge_drop,0.2,42,0.2054730983302412,2.0
junyi,edge_drop,0.2,1234,0.1934137291280148,2.0
junyi,edge_drop,0.3,17,0.3079777365491651,2.0
junyi,edge_drop,0.3,42,0.3019480519480519,2.0
junyi,edge_drop,0.3,1234,0.2903525046382189,2.0
junyi,node_drop,0.05,17,0.1173469387755102,2.0
junyi,node_drop,0.05,42,0.0830241187384044,2.0
junyi,node_drop,0.05,1234,0.1252319109461966,2.0
junyi,node_drop,0.1,17,0.1767161410018553,2.0
junyi,node_drop,0.1,42,0.174860853432282,2.0
junyi,node_drop,0.1,1234,0.2337662337662337,2.0
junyi,node_drop,0.2,17,0.3650278293135436,2.0
junyi,node_drop,0.2,42,0.3979591836734694,2.0
junyi,node_drop,0.2,1234,0.3910018552875696,2.0
junyi,node_drop,0.3,17,0.5088126159554731,2.0
junyi,node_drop,0.3,42,0.5282931354359925,2.0
junyi,node_drop,0.3,1234,0.5255102040816326,2.0
junyi,subgraph,0.05,17,0.0129870129870129,2.0
junyi,subgraph,0.05,42,0.0134508348794063,2.0
junyi,subgraph,0.05,1234,0.0134508348794063,2.0
junyi,subgraph,0.1,17,0.0556586270871985,2.0
junyi,subgraph,0.1,42,0.0589053803339517,2.0
junyi,subgraph,0.1,1234,0.0556586270871985,2.0
junyi,subgraph,0.2,17,0.1307977736549165,2.0
junyi,subgraph,0.2,42,0.1461038961038961,2.0
junyi,subgraph,0.2,1234,0.1799628942486085,2.0
junyi,subgraph,0.3,17,0.24860853432282,2.0
junyi,subgraph,0.3,42,0.2430426716141001,2.0
junyi,subgraph,0.3,1234,0.2935992578849721,2.0
xes3g5m,attr_mask,0.05,17,0.0,0.0
xes3g5m,attr_mask,0.05,42,0.0,0.0
xes3g5m,attr_mask,0.05,1234,0.0,0.0
xes3g5m,attr_mask,0.1,17,0.0,0.0
xes3g5m,attr_mask,0.1,42,0.0,0.0
xes3g5m,attr_mask,0.1,1234,0.0,0.0
xes3g5m,attr_mask,0.2,17,0.0,0.0
xes3g5m,attr_mask,0.2,42,0.0,0.0
xes3g5m,attr_mask,0.2,1234,0.0,0.0
xes3g5m,attr_mask,0.3,17,0.0,0.0
xes3g5m,attr_mask,0.3,42,0.0,0.0
xes3g5m,attr_mask,0.3,1234,0.0,0.0
xes3g5m,edge_drop,0.05,17,0.043029259896729774,0.0
xes3g5m,edge_drop,0.05,42,0.050774526678141134,0.0
xes3g5m,edge_drop,0.05,1234,0.05335628227194492,0.0
xes3g5m,edge_drop,0.1,17,0.09036144578313253,0.0
xes3g5m,edge_drop,0.1,42,0.09380378657487091,0.0
xes3g5m,edge_drop,0.1,1234,0.10068846815834767,0.0
xes3g5m,edge_drop,0.2,17,0.193631669535284,0.0
xes3g5m,edge_drop,0.2,42,0.21428571428571427,0.0
xes3g5m,edge_drop,0.2,1234,0.20395869191049915,0.0
xes3g5m,edge_drop,0.3,17,0.29690189328743544,0.0
xes3g5m,edge_drop,0.3,42,0.30120481927710846,0.0
xes3g5m,edge_drop,0.3,1234,0.29862306368330466,0.0
xes3g5m,node_drop,0.05,17,0.12822719449225473,0.0
xes3g5m,node_drop,0.05,42,0.08347676419965576,0.0
xes3g5m,node_drop,0.05,1234,0.12736660929432014,0.0
xes3g5m,node_drop,0.1,17,0.18416523235800344,0.0
xes3g5m,node_drop,0.1,42,0.16523235800344235,0.0
xes3g5m,node_drop,0.1,1234,0.23580034423407917,0.0
xes3g5m,node_drop,0.2,17,0.3588640275387263,0.0
xes3g5m,node_drop,0.2,42,0.4208261617900172,0.0
xes3g5m,node_drop,0.2,1234,0.3743545611015491,0.0
xes3g5m,node_drop,0.3,17,0.5034423407917383,0.0
xes3g5m,node_drop,0.3,42,0.5473321858864028,0.0
xes3g5m,node_drop,0.3,1234,0.5421686746987951,0.0
xes3g5m,subgraph,0.05,17,0.021514629948364887,0.0
xes3g5m,subgraph,0.05,42,0.024096385542168676,0.0
xes3g5m,subgraph,0.05,1234,0.02323580034423408,0.0
xes3g5m,subgraph,0.1,17,0.055077452667814115,0.0
xes3g5m,subgraph,0.1,42,0.055077452667814115,0.0
xes3g5m,subgraph,0.1,1234,0.058519793459552494,0.0
xes3g5m,subgraph,0.2,17,0.14113597246127366,0.0
xes3g5m,subgraph,0.2,42,0.1514629948364888,0.0
xes3g5m,subgraph,0.2,1234,0.1342512908777969,0.0
xes3g5m,subgraph,0.3,17,0.23493975903614459,0.0
xes3g5m,subgraph,0.3,42,0.24440619621342513,0.0
xes3g5m,subgraph,0.3,1234,0.22633390705679862,0.0
xes3g5m,attr_mask,0.05,17,0.0,1.0
xes3g5m,attr_mask,0.05,42,0.0,1.0
xes3g5m,attr_mask,0.05,1234,0.0,1.0
xes3g5m,attr_mask,0.1,17,0.0,1.0
