stratum,n,auc,acc,nll,dataset,model,fold,split_seed
very_cold,49,0.6084229390681004,0.7551020408163265,0.6307180895345634,assist2012,simplekt,0.0,42.0
warm,9017,0.7647480391570686,0.6869246977930575,0.5868695123530621,assist2012,simplekt,0.0,42.0
cold,707,0.765381293291032,0.7057991513437057,0.5867487325358864,assist2012,akt,0.0,42.0
hot,807178,0.6804334204635861,0.6962057935176628,0.5864846213925324,assist2012,akt,0.0,42.0
very_cold,49,0.6263440860215054,0.7551020408163265,0.6368051212731118,assist2012,akt,0.0,42.0
warm,9017,0.7624205743109193,0.6820450260618831,0.6096621571885597,assist2012,akt,0.0,42.0
cold,707,0.7352415992558511,0.6548797736916548,0.6185225958912403,assist2012,gkt,0.0,42.0
hot,807178,0.5992709819634292,0.6931742440948588,0.6046260724430436,assist2012,gkt,0.0,42.0
very_cold,49,0.5806451612903226,0.6326530612244898,0.6613484796057599,assist2012,gkt,0.0,42.0
warm,9017,0.7159445078856201,0.6329156038593767,0.6321074658124233,assist2012,gkt,0.0,42.0
cold,707,0.7693013637194159,0.7142857142857143,0.5893947039292865,assist2012,gikt,0.0,42.0
hot,807178,0.6883786652254011,0.6962330489681334,0.5813731049042865,assist2012,gikt,0.0,42.0
very_cold,49,0.6084229390681004,0.7551020408163265,0.6235534003129026,assist2012,gikt,0.0,42.0
warm,9017,0.7535717409340199,0.6676278141288677,0.6041971390355527,assist2012,gikt,0.0,42.0
cold,731,0.7543371749044743,0.7004103967168263,0.5795407286654229,assist2012,bkt,1.0,43.0
hot,796664,0.6064245988134438,0.6998584095678981,0.5960902517689991,assist2012,bkt,1.0,43.0
very_cold,54,0.7445987654320988,0.7222222222222222,0.5967384402797603,assist2012,bkt,1.0,43.0
warm,9272,0.7351616285314199,0.6666307161345988,0.6006073049326899,assist2012,bkt,1.0,43.0
cold,731,0.7695018796992481,0.7004103967168263,0.6006236334145437,assist2012,dkt,1.0,43.0
hot,796664,0.688742275176815,0.6991517126417159,0.5841142464683349,assist2012,dkt,1.0,43.0
very_cold,54,0.7554012345679012,0.6666666666666666,0.5870420283523053,assist2012,dkt,1.0,43.0
warm,9272,0.7612149792504356,0.6646893874029336,0.6148204648171766,assist2012,dkt,1.0,43.0
cold,731,0.7718746148157278,0.7086183310533516,0.5697946682012314,assist2012,simplekt,1.0,43.0
hot,796664,0.6970015847723672,0.7092877298334053,0.5689155697972502,assist2012,simplekt,1.0,43.0
very_cold,54,0.783179012345679,0.6851851851851852,0.5693188585455895,assist2012,simplekt,1.0,43.0
warm,9272,0.7659441961221978,0.6928386540120793,0.5809731833035069,assist2012,simplekt,1.0,43.0
cold,731,0.7703955072106495,0.7099863201094391,0.5903770823143298,assist2012,akt,1.0,43.0
hot,796664,0.6835245051737112,0.7020450277657834,0.5821793354512271,assist2012,akt,1.0,43.0
very_cold,54,0.783179012345679,0.6666666666666666,0.5775698223188842,assist2012,akt,1.0,43.0
